Ragione sociale;Partita iva o CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Forma giuridica;Legale Cognome;Legale Nome;Referente;Referente Email;Data convenzione;Scadenza convenzione
2M GIARDINI DI MANOLO MILAN;03553510136;VIA 4 NOVEMBRE, 65;MARIANO COMENSE;22066;CO;ITALIA;334 2315515;2mgiardini.mb@gmail.com;81.30.00;Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole);;MILAN;MANOLO;;;04-05-2018;03-05-2019
43 STATION HOTEL SRL;00716270152;VIA FABIO FILZI 43;MILANO;20124;MI;ITALIA;0222179900;DIREZIONE@43STATIONHOTEL.COM;55.10.00;Alberghi;SRL;ACERBI;MARCELLO EUGENIO;;;;
A.C.M. CONSULTING SRL;06897150964;VIALE CAMPANIA 65;MONZA;20900;MB;ITALIA;0392140418;info@acmconsultingsrl.it;82.91.1;Attività di agenzie di recupero crediti;;BRUSCHETTA;PAOLO;;;05-05-2022;05-05-2023
A.S.D. CENTRO IPPICO SULBIATESE;08530180960;VIA 4 NOVEMBRE, 27;SULBIATE;20884;MB;ITALIA;039 623884 ;da.mattavelli@gmail.com;93.11.90;Gestione di altri impianti sportivi nca;;STUCCHI;RAFFAELLA;;;24-04-2018;23-04-2019
A.S.D. GINNASTICA ARTISTICA LISSONESE;00809200967;VIA L. DA VINCI;LISSONE;20851;MB;ITALIA;3482884937;ginnasticagal@gmail.com;93.19.1;Enti e organizzazioni sportive, promozione di eventi sportivi;;BRENNA;CHRISTIAN;;;;
A.S.D. SPERANZA AGRATE;08312370961;VIA MONTE GRAPPA, 20;AGRATE BRIANZA;20864;MB;ITALIA;039651772;speranzaagrate@libero.it;93.12.00;Attività di club sportivi;;BOSISIO;ANGELO ALFREDO;;;;
A.S.D. SUBACQUEA RIVIERA DEI CEDRI;96047090780;VIA TELEGRAFO SNC;SAN NICOLA ARCELLA;87020;CS;ITALIA;3473804155;;931200;;;SAVINI;MARIA LUISA;D'ALESSANDRO SALVATORE MARIO;salvatore@divingcalabria.it;04-04-2022;04-04-2023
A.S.L. DI MILANO;12319130154;C.so Italia, 19;Milano;20122;MI;;;;;;;;;;;;
AB&COM;05925540964;VIA AZZONE VISCONTI,45;MONZA;20900;MB;ITALIA;039/2329665;elisa.pizzo@ab-com.biz;;;;ASCRIZZI;VINCENZO;;;;
ABACO SAS DI ROLANDO NOVA &C.;02175660964;LARGO REPUBBLICA 7;VEDANO AL LAMBRO;20854;MB;ITALIA;039 492902 - 039 492934;nova@studioabaco.net;631111;GESTIONE SERVIZI CONTABILI ED AMMINISTRATIVI;;NOVA;ROLANDO;;;10-01-2018;10-01-2019
AC  ART CASA;10224940964;V. CAMILLO GOLGI 13;ARCORE;20862;MB;ITALIA;0396015155;info@acartcasa.it;;;;STRACI;NUNZIO;;;30-01-2019;30-01-2020
AC MILAN SPA;01073200154;VIA ALDO ROSSI 8;MILANO;20100;MI;ITALIA;02 62285661;;93.12.00;Attività di club sportivi;;SORBONE;ALESSANDRO;;;05-06-2018;04-06-2019
ACNET SOLUTIONS - STUDIO COMMERCIALISTI ASSOCIATI;9606700962;VIA VITTORIO EMANUELE II, 26;MONZA;20900;MB;ITALIA;0398963624;studio@acnetsolutions.com;;;;ALIPRANDI;FABIO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACS DOBFAR SPA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;SOCIETÀ PER AZIONI;VERGANI;CARLO;;;;
ACSM-AGAM RETI GAS ACQUA SPA;07063880962;VIA CANOVA 3;MONZA;20900;MB;ITALIA;039.23851;cesare.sala@reti.acsm-agam.it;;;;BORLESI;FERRUCCIO;;;;
ADECCO ITALIA HOLDING S.P.A.;13362510151;VIA TOLMEZZO, N. 15;MILANO;20132;MI;ITALIA;3452556814;maristella.sanguedolce@adecco.it;70.10.00;Attività delle holding impegnate nelle attività gestionali (holding operative);;MAGRI;MONICA;MARISTELLA SANGUEDOLCE;;13-04-2018;12-04-2019
AERIS COOPERATIVA SOCIALE;02399480967;VIALE KENNEDY 19;VIMERCATE;20871;MB;ITALIA;;pep.nidorobbiate@coopaeris.it;;;;RONCHI;ARIANNA;;;;
AFI SNC DI RISERI D. & C.;4010790964;VIA SAN ROCCO,32/2;MONZA;20900;MB;ITALIA;392265598; afisnc@libero.it;86.90.29;Altre attività paramediche indipendenti nca;;RISERI;DOMENICO;;;27-11-2017;26-11-2018
AGENZIA GENERALE INA ASSITALIA MONZA B.B.R ASS.NI SRL;02729030961;LARGO XXV APRILE 6/A - MONZA;MONZA;20900;MB;ITALIA;039-2393226;roberta.ranghetti@agmonza.gruppoina.it;66.22.02;Agenti di assicurazioni;;RASERO;FABRIZIO;;;21-06-2021;22-06-2022
AGENZIA VIAGGI FERMATA 36;07669930963;VIA VITTORIO EMANUELE II, 36;MONZA;20900;MB;ITALIA;039-2326353;info@fermata36.it;79.12.00;Attività dei tour operator;;AMOLDI;CARLO LUCA MARIA;;;15-01-2019;09-01-2020
AGRI BRIANZA GARDEN STORE SRL;00887130961;VIA DANTE, 191;CONCOREZZO;20863;MB;ITALIA;039 6116846-08;personale@agribrianza.it;45.22.4;;;MENTASTI;MARIA PAOLA;HAIVAZ LENA;personale@agribrianza.it;21-05-2021;23-05-2022
AGRI BRIANZA GARDEN STORE SRL;00887130961;VIA DANTE, 191;CONCOREZZO;20863;MB;ITALIA;039 6116846-08;personale@agribrianza.it;45.22.4;;;MENTASTI;MARIA PAOLA;HAIVAZ LENA;personale@agribrianza.it;21-05-2021;23-05-2022
AGRI BRIANZA GARDEN STORE SRL;00887130961;VIA DANTE, 191;CONCOREZZO;20863;MB;ITALIA;039 6116846-08;personale@agribrianza.it;45.22.4;;;MENTASTI;MARIA PAOLA;HAIVAZ LENA;personale@agribrianza.it;21-05-2021;23-05-2022
AGROGARDEN DI LUCIA MARCO;09762290964;VIA F. CAVALLOTTI 126;MONZA;20900;MB;ITALIA;3332447464;agrogardenmonza@gmail.com;81.3;CURA E MANUTENZIONE DEL PAESAGGIO;;LUCIA;MARCO;LUCIA MARCO;agrogardenmonza@gmail.com;22-03-2021;22-03-2022
AIRWORK PNEUMATIC EQUIPMENT SRL;02743430965;VIA DEI MILLE,1;CESANO MADERNO;20811;MB;ITALIA;0362645955;l.guerra@airwork.it;28.12.00;Fabbricazione di apparecchiature fluidodinamiche;;ONGIS;GIUSEPPE;;;17-01-2019;17-02-2020
ALBASOFTWARE DI COLOMBO A.;03778790968;LOC. C.NA RECALCATE, 8;CONCOREZZO;20863;MB;ITALIA;0396040909;info@albasoftware.it;62.01.00;Produzione di software non connesso all'edizione;;COLOMBO;ALBERTO;;;30-03-0022;30-03-2023
ALBERTO DELL’ORTO S.A.S.;02786890968;VIA L. MANARA, 23;MONZA;20900;MB;ITALIA;039387375;alberto_dellorto@libero.it;;;;DELL’ORTO;ALBERTO;;;09-01-2019;09-01-2020
ALER;00214310120;VIA BARADELLO 6;MONZA;20900;MB;ITALIA;039.2171;uogmonzabrianza@alervarese.com;;;;SALA;MARIO ANGELO;;;;
ALESTE SRL;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;PICIOTTI;STEFANIA;;;10-04-2019;10-04-2020
ALESTE SRL;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;PICIOTTI;STEFANIA;;;10-04-2019;10-04-2020
ALESTE SRL;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;PICIOTTI;STEFANIA;;;10-04-2019;10-04-2020
ALEXY SAS;04251430965;VIA CELLINI, 14;MONZA;20900;MB;ITALIA;0392140075;silvia.pagano@tempocasa.com;;;;PAGANO;SILVIA;;;22-06-2018;21-06-2019
ALGECO S.P.A. CON SOCIO UNICO;01724560188;VIA E. MATTEI 2 (FRAZ. DIVISA);MARCIGNAGO;27020;PV;ITALIA;3371580234;chiara.temperanza@algeco.com;77.39.91;Noleggio di container adibiti ad alloggi o ad uffici;;AMATI;VITO;FALZONI ANDREA;andrea.falzoni@algeco.com;05-04-2022;05-04-2023
ALIPRANDI COLOMBO GALANTE;09606700962;VIA B. ZUCCHI 40;MONZA;20900;MB;ITALIA;039 8963624;STUDIO@ACNETSOLUTIONS.COM;69.20.11;Servizi forniti da dottori commercialisti;;ALIPRANDI;FABIO;ALIPRANDI FABIO;;25-05-2021;25-05-2022
ALMA BIRRIFICIO SRL;08207850960;VIA LECCO 168/A;MONZA;20900;MB;ITALIA;3383781693;davide@almabirrificio.it;;;;MONTRASIO;DAVIDE;;;;
ALTAG SRL;09918420150;VIA XXV APRILE, 50B;CAMBIAGO;20040;MI;ITALIA;0295349225;segreteria@altag.it;25.62;Lavori di meccanica generale;;BRAMBILLASCA;ROBERTO;;;;
ALTAG SRL;09918420150;VIA XXV APRILE, 50B;CAMBIAGO;20040;MI;ITALIA;0295349225;segreteria@altag.it;25.62;Lavori di meccanica generale;;BRAMBILLASCA;ROBERTO;;;;
AMBULATORIO VETERINARIO;02115900967;VIA GRAMSCI 14 BIS;BURAGO DI MOLGORA;20875;MB;ITALIA;0396082933;marta.bragotto@gmail.com;;;;GIANNI;MAURO LUIGI;;;;
AMBULATORIO VETERINARIO DOTT.PARMA RICCARDO;0463970962;VIA CLOTILDE,3;BRUGHERIO;20861;MB;ITALIA;039 879352;info@clinvetmonza.it;;;;PARMA;RICCARDO;;;;
AMT SRL;00790890966;VIA CARLO ABERTO, 11;Monza;20063;MI;ITALIA;02-92105330;amt@amtsrl.it;;;;FORNENGO;CESARE;;;;
ANCYLLA;07551210961;VIA CAVEZZALI 6;CONCOREZZO;20863;MB;ITALIA;0399190717;info@ancylla.it;;;SRL;DI LEO;FRANCO;;;22-03-2018;21-03-2019
ANIMATION TOURISM SERVICE;2709790980;VIA VITTORIO EMANUELE, 40;VIMERCATE;20871;MB;ITALIA;396854449;animazione@animationtourism.com;;;;GALIMBERTI;MAILA;;;;
ANTONIO PENNATI SOCIETA' AGRICOLA;03674480136;VIA VINCENZO FOPPA 1;MONTICELLO BRIANZA;23876;LC;ITALIA;3470137491;info@antoniopennati.it;01.3;RIPRODUZIONE DELLE PIANTE;;PENNATI;LUIGI;PENNATI LUIGI;info@antoniopennati.it;04-06-2021;05-06-2022
APA SERVIZI SRL;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;ufficio.personale@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;SRL;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019
APA SERVIZI SRL;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;ufficio.personale@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;SRL;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019
APA SERVIZI SRL;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;ufficio.personale@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;SRL;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019
ARCH. ADRIANO MARCO BERTOLDI;2870220965;VIA DELLA BIRONA 14, MONZA;MUGGIO';20053;MI;ITALIA;39386566;adriano@studioarchitetturabertoldi.it;71.11;Attività degli studi di architettura;;BERTOLDI;ADRIANO MARCO;;;29-11-2017;28-11-2018
