partita_iva;ragione_sociale;tutor_referente_azienda;sede_comune;sede_provincia;telefono;email;settore
03553510136;2M GIARDINI DI MANOLO MILAN;;MARIANO COMENSE;CO;334 2315515;2mgiardini.mb@gmail.com;
00716270152;43 STATION HOTEL SRL;;MILANO;MI;0222179900;DIREZIONE@43STATIONHOTEL.COM;Alberghi e ristoranti
08530180960;A.S.D. CENTRO IPPICO SULBIATESE;;SULBIATE;MB;039 623884 ;da.mattavelli@gmail.com;
00809200967;A.S.D. GINNASTICA ARTISTICA LISSONESE;;LISSONE;MB;3482884937;ginnasticagal@gmail.com;
08312370961;A.S.D. SPERANZA AGRATE;;AGRATE BRIANZA;MB;039651772;speranzaagrate@libero.it;Sport
12319130154;A.S.L. DI MILANO;;Milano;MI;;;
05925540964;AB&COM;;MONZA;MB;039/2329665;elisa.pizzo@ab-com.biz;
02175660964;ABACO SAS DI ROLANDO NOVA &C.;;VEDANO AL LAMBRO;MB;039 492902 - 039 492934;nova@studioabaco.net;Servizi avanzati alle imprese
10224940964;AC  ART CASA;;ARCORE;MB;0396015155;info@acartcasa.it;
01073200154;AC MILAN SPA;;MILANO;MI;02 62285661;;Altre attività imprenditoriali
9606700962;ACNET SOLUTIONS - STUDIO COMMERCIALISTI ASSOCIATI;;MONZA;MB;0398963624;studio@acnetsolutions.com;
It05847860151;ACS DOBFAR SPA;;TRIBIANO;MI;039 68451;claudia.fontanini@acsdobfar.it;Prodotti chimici/fibre sintetiche e artificiali
07063880962;ACSM-AGAM RETI GAS ACQUA SPA;;MONZA;MB;039.23851;cesare.sala@reti.acsm-agam.it;Energia elettrica/gas/acqua
13362510151;ADECCO ITALIA HOLDING S.P.A.;;MILANO;MI;3452556814;maristella.sanguedolce@adecco.it;Agenzia del lavoro
02399480967;AERIS COOPERATIVA SOCIALE;;VIMERCATE;MB;;chiaramotta@coopaeris.it;Altri servizi pubblici, sociali e personali
4010790964;AFI SNC DI RISERI D. & C.;;MONZA;MB;392265598; afisnc@libero.it;
02729030961;AGENZIA GENERALE INA ASSITALIA MONZA B.B.R ASS.NI SRL;;MONZA;MB;039-2393226;roberta.ranghetti@agmonza.gruppoina.it;Servizi avanzati alle imprese
07669930963;AGENZIA VIAGGI FERMATA 36;;MONZA;MB;039-2326353;info@fermata36.it;Turismo
00887130961;AGRI BRIANZA GARDEN STORE SRL;;CONCOREZZO;MB;039 6116846;PERSONALE@AGRIBRIANZA.IT;Agricoltura/silvicoltura
09762290964;AGROGARDEN DI LUCIA MARCO;;MONZA;MB;3332447464;agrogardenmonza@gmail.com;
02743430965;AIRWORK PNEUMATIC EQUIPMENT SRL;;CESANO MADERNO;MB;0362645955;l.guerra@airwork.it;Produzione macchine/apparecchi meccanici
02786890968;ALBERTO DELL’ORTO S.A.S.;;MONZA;MB;039387375;alberto_dellorto@libero.it;
00214310120;ALER;;MONZA;MB;039.2171;uogmonzabrianza@alervarese.com;Altri servizi pubblici, sociali e personali
02800970960;ALESTE SRL;;MONZA;MB;039 6885059;cornate@viagginelrisparmio.com;Servizi avanzati alle imprese
