Ragione Sociale;Tipo Organizzazione;Partita Iva O CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Descrizione O Brand;Sito;Forma Giuridica;Anno Costituzione;Settore;Attivita;Legale Cognome;Legale Nome;Legale Email;Legale Telefono;Data Convenzione;Scadenza Convenzione;Numero Protocollo
2M GIARDINI DI MANOLO MILAN;AZIENDA;03553510136;VIA 4 NOVEMBRE, 65;MARIANO COMENSE;22066;CO;ITALIA;334 2315515;2mgiardini.mb@gmail.com;81.30.00;Cura e manutenzione del paesaggio (inclusi parchi, giardini e aiuole);;;;;;;MILAN;MANOLO;;;04-05-2018;03-05-2019;2533/b4c
43 STATION HOTEL SRL;AZIENDA;00716270152;VIA FABIO FILZI 43;MILANO;20124;MI;ITALIA;0222179900;DIREZIONE@43STATIONHOTEL.COM;55.10.00;Alberghi;;;;;Alberghi e ristoranti;;ACERBI;MARCELLO EUGENIO;;;;;
A.S.D. CENTRO IPPICO SULBIATESE;AZIENDA;08530180960;VIA 4 NOVEMBRE, 27;SULBIATE;20884;MB;ITALIA;039 623884 ;da.mattavelli@gmail.com;93.11.90;Gestione di altri impianti sportivi nca;;;;;;;STUCCHI;RAFFAELLA;;;24-04-2018;23-04-2019;2243/b4c
A.S.D. GINNASTICA ARTISTICA LISSONESE;ASSOCIAZIONE;00809200967;VIA L. DA VINCI;LISSONE;20851;MB;ITALIA;3482884937;ginnasticagal@gmail.com;93.19.1;Enti e organizzazioni sportive, promozione di eventi sportivi;;;;;;;BRENNA;CHRISTIAN;;;;;
A.S.D. SPERANZA AGRATE;ASSOCIAZIONE;08312370961;VIA MONTE GRAPPA, 20;AGRATE BRIANZA;20864;MB;ITALIA;039651772;speranzaagrate@libero.it;93.12.00;Attività di club sportivi;;;;;Sport;;BOSISIO;ANGELO ALFREDO;;;;;
A.S.L. DI MILANO;SCUOLA;12319130154;C.so Italia, 19;Milano;20122;MI;;;;;;;;;;;;;;;;;;
AB&COM;AZIENDA;05925540964;VIA AZZONE VISCONTI,45;MONZA;20900;MB;ITALIA;039/2329665;elisa.pizzo@ab-com.biz;;;;;;;;;ASCRIZZI;VINCENZO;;;;;
ABACO SAS DI ROLANDO NOVA &C.;LIBERO PROFESSIONISTA;02175660964;LARGO REPUBBLICA 7;VEDANO AL LAMBRO;20854;MB;ITALIA;039 492902 - 039 492934;nova@studioabaco.net;631111;GESTIONE SERVIZI CONTABILI ED AMMINISTRATIVI;;;;;Servizi avanzati alle imprese;631111;NOVA;ROLANDO;nova@studioabaco.net;;10-01-2018;10-01-2019;6731/B4C
AC  ART CASA;AZIENDA;10224940964;V. CAMILLO GOLGI 13;ARCORE;20862;MB;ITALIA;0396015155;info@acartcasa.it;;;;;;;;;STRACI;NUNZIO;;3331084965;30-01-2019;30-01-2020;769/b4c
AC MILAN SPA;SPORT E RICREAZIONE;01073200154;VIA ALDO ROSSI 8;MILANO;20100;MI;ITALIA;02 62285661;;93.12.00;Attività di club sportivi;;;;;Altre attività imprenditoriali;SOCIETÀ SPORTIVA IN AMBITO CALCISTICO;SORBONE;ALESSANDRO;agata.frigerio@acmilan.it;;05-06-2018;04-06-2019;3059/b4c
AC MILAN SPA;SPORT E RICREAZIONE;01073200154;VIA ALDO ROSSI 8;MILANO;20100;MI;ITALIA;02 62285661;;93.12.00;Attività di club sportivi;;;;;Altre attività imprenditoriali;SOCIETÀ SPORTIVA IN AMBITO CALCISTICO;SORBONE;ALESSANDRO;agata.frigerio@acmilan.it;;05-06-2018;04-06-2019;3059/b4c
ACNET SOLUTIONS - STUDIO COMMERCIALISTI ASSOCIATI;AZIENDA;9606700962;VIA VITTORIO EMANUELE II, 26;MONZA;20900;MB;ITALIA;0398963624;studio@acnetsolutions.com;;;692011;;;;;;ALIPRANDI;FABIO;f.aliprandi@gmail.com;3387521398;;;
ACS DOBFAR SPA;AZIENDA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;;claudia.fontanini@acsdobfar.it;SOCIETÀ PER AZIONI;;Prodotti chimici/fibre sintetiche e artificiali;;VERGANI;CARLO;;;;;
ACS DOBFAR SPA;AZIENDA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;;claudia.fontanini@acsdobfar.it;SOCIETÀ PER AZIONI;;Prodotti chimici/fibre sintetiche e artificiali;;VERGANI;CARLO;;;;;
ACS DOBFAR SPA;AZIENDA;IT05847860151;VIALE ADDETTA 4/12;TRIBIANO;20067;MI;ITALIA;039 68451;claudia.fontanini@acsdobfar.it;;;;claudia.fontanini@acsdobfar.it;SOCIETÀ PER AZIONI;;Prodotti chimici/fibre sintetiche e artificiali;;VERGANI;CARLO;;;;;
ACSM-AGAM RETI GAS ACQUA SPA;AZIENDA;07063880962;VIA CANOVA 3;MONZA;20900;MB;ITALIA;039.23851;cesare.sala@reti.acsm-agam.it;;;;;;;Energia elettrica/gas/acqua;;BORLESI;FERRUCCIO;;;;;
ADECCO ITALIA HOLDING S.P.A.;AZIENDA;13362510151;VIA TOLMEZZO, N. 15;MILANO;20132;MI;ITALIA;3452556814;maristella.sanguedolce@adecco.it;70.10.00;Attività delle holding impegnate nelle attività gestionali (holding operative);;;;;Agenzia del lavoro;;MAGRI;MONICA;monica.magri@adeccogroup.com;3452556814;13-04-2018;12-04-2019;2137/b4c
AERIS COOPERATIVA SOCIALE;COOPERATIVA;02399480967;VIALE KENNEDY 19;VIMERCATE;20871;MB;ITALIA;;chiaramotta@coopaeris.it;;;;;;;Altri servizi pubblici, sociali e personali;;RONCHI;ARIANNA;;;;;
AERIS COOPERATIVA SOCIALE;COOPERATIVA;02399480967;VIALE KENNEDY 19;VIMERCATE;20871;MB;ITALIA;;chiaramotta@coopaeris.it;;;;;;;Altri servizi pubblici, sociali e personali;;RONCHI;ARIANNA;;;;;
AFI SNC DI RISERI D. & C.;LIBERO PROFESSIONISTA;4010790964;VIA SAN ROCCO,32/2;MONZA;20900;MB;ITALIA;392265598; afisnc@libero.it;86.90.29;Altre attività paramediche indipendenti nca;;;;;;;RISERI;DOMENICO;;0392265598;27-11-2017;26-11-2018;6431/b1c
AGENZIA GENERALE INA ASSITALIA MONZA B.B.R ASS.NI SRL;AZIENDA;02729030961;LARGO XXV APRILE 6/A - MONZA;MONZA;20900;MB;ITALIA;039-2393226;roberta.ranghetti@agmonza.gruppoina.it;66.22.02;Agenti di assicurazioni;;;;;Servizi avanzati alle imprese;;RASERO;FABRIZIO;;;21-06-2021;22-06-2022;2238
AGENZIA VIAGGI FERMATA 36;AZIENDA;07669930963;VIA VITTORIO EMANUELE II, 36;MONZA;20900;MB;ITALIA;039-2326353;info@fermata36.it;79.12.00;Attività dei tour operator;;;;;Turismo;AGENZIA VIAGGI;AMOLDI;CARLO LUCA MARIA;;;15-01-2019;09-01-2020;305/B4C
AGRI BRIANZA GARDEN STORE SRL;AZIENDA;00887130961;VIA DANTE, 191;CONCOREZZO;20863;MB;ITALIA;039 6116846;PERSONALE@AGRIBRIANZA.IT;45.52.4;;;;;;Agricoltura/silvicoltura;;MENTASTI;MARIA PAOLA;;0396116804;21-05-2021;23-05-2022;1772/U
AGROGARDEN DI LUCIA MARCO;AZIENDA;09762290964;VIA F. CAVALLOTTI 126;MONZA;20900;MB;ITALIA;3332447464;agrogardenmonza@gmail.com;81.3;CURA E MANUTENZIONE DEL PAESAGGIO;;;;;;;LUCIA;MARCO;;;22-03-2021;22-03-2022;1092/U
AIRWORK PNEUMATIC EQUIPMENT SRL;AZIENDA;02743430965;VIA DEI MILLE,1;CESANO MADERNO;20811;MB;ITALIA;0362645955;l.guerra@airwork.it;28.12.00;Fabbricazione di apparecchiature fluidodinamiche;;;;;Produzione macchine/apparecchi meccanici;;ONGIS;GIUSEPPE;;;17-01-2019;17-02-2020;778/B4C
ALBERTO DELL’ORTO S.A.S.;AZIENDA;02786890968;VIA L. MANARA, 23;MONZA;20900;MB;ITALIA;039387375;alberto_dellorto@libero.it;;;;;;;;;DELL’ORTO;ALBERTO;;;09-01-2019;09-01-2020;1421/b4c
ALER;ENTE PUBBLICO;00214310120;VIA BARADELLO 6;MONZA;20900;MB;ITALIA;039.2171;uogmonzabrianza@alervarese.com;;;;;;;Altri servizi pubblici, sociali e personali;;SALA;MARIO ANGELO;;;;;
ALESTE SRL;AZIENDA;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;viagginelrisparmio.com;;;Servizi avanzati alle imprese;;PICIOTTI;STEFANIA;monza@viagginelrisparmio.com;0392848647;10-04-2019;10-04-2020;2733/b4c
ALESTE SRL;AZIENDA;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;viagginelrisparmio.com;;;Servizi avanzati alle imprese;;PICIOTTI;STEFANIA;monza@viagginelrisparmio.com;0392848647;10-04-2019;10-04-2020;2733/b4c
ALESTE SRL;AZIENDA;02800970960;VIA DELLA GUERRINA 98-100;MONZA;20900;MB;ITALIA;039 6885059;cornate@viagginelrisparmio.com;79.12.00;Attività dei tour operator;;viagginelrisparmio.com;;;Servizi avanzati alle imprese;;PICIOTTI;STEFANIA;monza@viagginelrisparmio.com;0392848647;10-04-2019;10-04-2020;2733/b4c
ALEXY SAS;AZIENDA;04251430965;VIA CELLINI, 14;MONZA;20900;MB;ITALIA;0392140075;silvia.pagano@tempocasa.com;;;;;;;Servizi avanzati alle imprese;;PAGANO;SILVIA;;;22-06-2018;21-06-2019;3327/b4c
ALIPRANDI COLOMBO GALANTE;AZIENDA;09606700962;VIA B. ZUCCHI 40;MONZA;20900;MB;ITALIA;039 8963624;STUDIO@ACNETSOLUTIONS.COM;69.20.11;Servizi forniti da dottori commercialisti;;;;;;;ALIPRANDI;FABIO;FABIO@FABIOALIPRANDI.IT;3387521398;25-05-2021;25-05-2022;1961/U
ALMA BIRRIFICIO SRL;AZIENDA;08207850960;VIA LECCO 168/A;MONZA;20900;MB;ITALIA;334 2564537;davide@almabirrificio.it;;;;;;;Industrie alimentari/bevande/tabacco;;MONTRASIO;DAVIDE;;;;;
ALTAG SRL;AZIENDA;09918420150;VIA XXV APRILE, 50B;CAMBIAGO;20040;MI;ITALIA;0295349225;segreteria@altag.it;25.62;Lavori di meccanica generale;;;;;Contabilità;PROGRAMMAZIONE CAD, CNC LAVORI GENERALI DI OFFICINA;BRAMBILLASCA;ROBERTO;;;;;
AMBULATORIO VETERINARIO;LIBERO PROFESSIONISTA;02115900967;VIA GRAMSCI 14 BIS;BURAGO DI MOLGORA;20875;MB;ITALIA;0396082933;marta.bragotto@gmail.com;;;;;;;;;GIANNI;MAURO LUIGI;;;;;
AMBULATORIO VETERINARIO DOTT.PARMA RICCARDO;AZIENDA;0463970962;VIA CLOTILDE,3;BRUGHERIO;20861;MB;ITALIA;039 879352;info@clinvetmonza.it;;;;;;;;;PARMA;RICCARDO;;;;;
AMT SRL;AZIENDA;00790890966;VIA CARLO ABERTO, 11;Monza;20063;MI;ITALIA;02-92105330;amt@amtsrl.it;;;;;;;Commercio;;FORNENGO;CESARE;;;;;
ANCYLLA;AZIENDA;07551210961;VIA CAVEZZALI 6;CONCOREZZO;20863;MB;ITALIA;0399190717;info@ancylla.it;;;;;SRL;;Servizi avanzati alle imprese;;DI LEO;FRANCO;franco.dileo@ancylla.it;3487982918;22-03-2018;21-03-2019;2085/b4c
ANIMATION TOURISM SERVICE;AZIENDA;2709790980;VIA VITTORIO EMANUELE, 40;VIMERCATE;20871;MB;ITALIA;396854449;animazione@animationtourism.com;;;;;;;Agenzia Viaggi;AGENZIA VIAGGI;GALIMBERTI;MAILA;animazione@animationtourism.com;0396854449;;;
ANTONIO PENNATI SOCIETA' AGRICOLA;AZIENDA;03674480136;VIA VINCENZO FOPPA 1;MONTICELLO BRIANZA;23876;LC;ITALIA;3470137491;info@antoniopennati.it;01.3;RIPRODUZIONE DELLE PIANTE;;http://www.antoniopennati.it/;;;Agricoltura/silvicoltura;;PENNATI;LUIGI;info@antoniopennati.it;3470137491;04-06-2021;05-06-2022;1986
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
APA SERVIZI SRL;AZIENDA;09265300153;VIA EDOARDO JENNER, 73;MILANO;20159;MI;ITALIA;0362342186;b.minotti@apaconfartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;SRL;;Servizi avanzati alle imprese;SERVIZI ALLE IMPRESE;BARZAGHI;GIOVANNI;;;10-07-2018;10-07-2019;3561/B1C
